From_Port_Code,To_Port_Code
MYWSP,CNSHA
INMAA,MYWSP
MYWSP,SGSIN
MYWSP,SGSIN
SGSIN,INMAA
INMAA,INGGV
SGSIN,CNNBG
CNNBG,CNNSA
CNNSA,SGSIN
SGSIN,CNSHA
CNSHA,CNNBG
CNSHK,IDSUB
IDSUB,IDNPC
IDNPC,CNSHK
CNSHK,IDNPC
IDNPC,IDSUB
CNSHK,IDNPC
IDNPC,IDSUB
IDNPC,IDSUB
IDSUB,CNSHK
IDNPC,IDSUB
IDSUB,CNSHK
IDNPC,IDSUB
IDSUB,CNSHK
KRSSD,KRJIT
KRJIT,CNTAO
CNTAO,CNSHA
KRJIT,CNTAO
CNTAO,CNSHA
CNSHA,KRSSD
CNSHA,KRSSD
KRSSD,KRJIT
KRJIT,CNTAO
KRSSD,KRJIT
KRJIT,CNTAO
CNTAO,CNSHA
KRSSD,KRJIT
KRJIT,CNTAO
CNTAO,CNSHA
KRJIT,CNTAO
CNTAO,CNSHA
CNSHA,KRSSD
CNTAO,CNSHA
CNSHA,KRSSD
KRSSD,KRJIT
INGTI,MYPKG
MYPKG,INCOK
INGTI,INCOK
INCOK,MYPKG
CNNSA,MYPKG
MYPKG,CNSHA
CNSHA,CNNBG
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,MYWSP
MYWSP,MYPKG
CNNSA,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,MYWSP
MYWSP,MYPKG
TZTAG,MYWSP
TZTAG,KEMBA
KEMBA,MYWSP
MYWSP,TZTAG
TZTAG,KEMBA
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,MYWSP
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,MYWSP
PHMNL,THLCH
THLCH,VNCLI
KRPUS,CNTAO
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
VNCLI,PHMNL
PHMNL,THLCH
CNTAO,CNSHA
CNSHA,KRPUS
PHMNL,THLCH
THLCH,VNCLI
KRPUS,CNSHA
CNSHA,CNTAO
THLCH,VNCLI
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
INGTI,INMUN
INMUN,MYWSP
THPAT,THSSP
THPAT,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THPAT,THSSP
THSSP,CNNSA
CNNSA,CNSHK
THPAT,THSSP
THSSP,CNNSA
CNNSA,CNSHK
THSSP,THPAT
CNNSA,CNSHK
CNSHK,THSSP
THPAT,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THPAT,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THSSP,THPAT
CNSHK,CNNSA
CNNSA,THSSP
THPAT,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THPAT,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THPAT,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THPAT,THSSP
THSSP,CNSHK
CNSHK,CNNSA
THPAT,THSSP
CNNSA,THSSP
THSSP,CNSHK
THPAT,THSSP
THSSP,CNSHK
